star_age,dt,model_number,star_mass,R_surf,L_surf,T_surf,P_surf,ρ_surf,X_surf,Y_surf,T_center,P_center,ρ_center,X_center,Y_center
10.0,10.0,1.0,1.0,97.38320037341866,15.439663379523463,1160.2373809343944,5.6167998261481005,3.568670239030986e-11,0.7151853800000001,0.2704,120268.94841694791,Inf,7.645606872621545e-5,0.7151853800000001,0.2704
15.0,5.0,2.0,1.0,97.34203891110657,15.431161507469417,1160.3228721218,5.62155100206239,3.571427373180156e-11,0.7151853800000001,0.2704,120309.18777229142,Inf,7.651919831627248e-5,0.7151853800000001,0.2704
22.5,7.5,3.0,1.0,97.28676205828322,15.435835296649655,1160.740338786493,5.627940975788196,3.574200162516337e-11,0.7151853800000001,0.2704,120369.58930621583,Inf,7.661403422328944e-5,0.7151853800000001,0.2704
33.75,11.25,4.0,1.0,97.2018257605789,15.447503754376257,1161.4667576445022,5.637780818098469,3.5782077317657106e-11,0.7151853800000001,0.2704,120460.30088799376,Inf,7.67566202858593e-5,0.7151853800000001,0.2704
50.625,16.875,5.0,1.0,97.06225844580166,15.45153169418157,1162.3772633211959,5.654005778335399,3.58569376386316e-11,0.7151853800000001,0.2704,120596.53929058852,Inf,7.697117710206364e-5,0.7151853800000001,0.2704
75.9375,25.3125,6.0,1.0,96.83580142054288,15.432920907603352,1163.3850409920124,5.680481243995304,3.5993670403864273e-11,0.7151853800000001,0.2704,120801.08127944157,Inf,7.7294348761523e-5,0.7151853800000001,0.2704
113.90625,37.96875,7.0,1.0,96.48288879190427,15.381013368643286,1164.5295319878194,5.7221130812621235,3.622193101171463e-11,0.7151853800000001,0.2704,121108.02399286632,Inf,7.778183474949226e-5,0.7151853800000001,0.2704
170.859375,56.953125,8.0,1.0,95.95357112346288,15.289660615418237,1165.9993499413567,5.785418064882554,3.6576673105458474e-11,0.7151853800000001,0.2704,121568.56142074235,Inf,7.851893344245851e-5,0.7151853800000001,0.2704
256.2890625,85.4296875,9.0,1.0,95.1823822289693,15.155760424788866,1168.1418035719398,5.87954735013894,3.710386533393764e-11,0.7151853800000001,0.2704,122260.13101097915,Inf,7.96377035320039e-5,0.7151853800000001,0.2704
361.7288740349694,105.43981153496941,10.0,1.0,94.27387379147974,15.006935012541184,1170.8647792585227,5.9934146708887885,3.7734779973249595e-11,0.7151853800000001,0.2704,123112.51929718543,Inf,8.103384858307003e-5,0.7151853800000001,0.2704
471.14139102504237,109.41251699007293,11.0,1.0,93.37795129961007,14.870448971117378,1173.784223025787,6.108975028246884,3.836696499112131e-11,0.7151853800000001,0.2704,123992.82923420031,Inf,8.249382891832864e-5,0.7151853800000001,0.2704
585.1771114783355,114.0357204532932,12.0,1.0,92.48804339267868,14.7446006025097,1176.9143969302247,6.2271001235133,3.900508416539877e-11,0.7151853800000001,0.2704,124906.72953104207,Inf,8.402845554795955e-5,0.7151853800000001,0.2704
703.6943263434983,118.51721486516277,13.0,1.0,91.60421139386915,14.628334790071136,1180.2402486020844,6.347842635281065,3.964958446868507e-11,0.7151853800000001,0.2704,125853.11023646132,Inf,8.563797203231698e-5,0.7151853800000001,0.2704
826.5307479591936,122.83642161569526,14.0,1.0,90.72664306257353,14.520610122540623,1183.745152104046,6.471237639622967,4.0300878344645696e-11,0.7151853800000001,0.2704,126830.55001453173,Inf,8.732245642554047e-5,0.7151853800000001,0.2704
953.5241202309281,126.9933722717345,15.0,1.0,89.8555843034565,14.420502748297473,1187.413500297848,6.597309935266169,4.0959304567041976e-11,0.7151853800000001,0.2704,127837.54570726804,Inf,8.908205243002889e-5,0.7151853800000001,0.2704
1084.5263465297617,131.00222629883342,16.0,1.0,88.99125634779101,14.327213674459246,1191.2315402037761,6.726085079176941,4.1625166028350954e-11,0.7151853800000001,0.2704,128872.6749566029,Inf,9.091713366023706e-5,0.7151853800000001,0.2704
1219.4063145589662,134.87996802920472,17.0,1.0,88.13383856516653,14.240056856288849,1195.187400425027,6.85759229019654,4.2298742567097815e-11,0.7151853800000001,0.2704,129934.64956660951,Inf,9.28283270481653e-5,0.7151853800000001,0.2704
1358.0492208394285,138.64290628046206,18.0,1.0,87.28346915368762,14.158442756670773,1199.270886528849,6.991864993783092,4.298029722400058e-11,0.7151853800000001,0.2704,131022.32692039807,Inf,9.481649765966284e-5,0.7151853800000001,0.2704
1500.3548314406207,142.30561060119217,19.0,1.0,86.44025077425438,14.081862609945398,1203.4732315353326,7.128940602157158,4.367007992525504e-11,0.7151853800000001,0.2704,132134.70367010025,Inf,9.68827247454516e-5,0.7151853800000001,0.2704
1646.2355779587235,145.8807465181028,20.0,1.0,85.60425679694751,14.009874855143954,1207.7868633392934,7.268860099145967,4.4368330036352723e-11,0.7151853800000001,0.2704,133270.90262253184,Inf,9.902827882405513e-5,0.7151853800000001,0.2704
1795.6147986906221,149.3792207318987,21.0,1.0,84.77553685645533,13.942093898811676,1212.20520568582,7.411667623221336,4.5075278318786777e-11,0.7151853800000001,0.2704,134430.1578427736,Inf,0.00010125460239972986,0.7151853800000001,0.2704
1948.4252116417645,152.81041295114218,22.0,1.0,83.95412144336873,13.87818095050479,1216.7225135062445,7.557410107273181,4.5791148510317086e-11,0.7151853800000001,0.2704,135611.80024211656,Inf,0.00010356329451284548,0.7151853800000001,0.2704
2104.6076226645173,156.1824110227528,23.0,1.0,83.14002559176079,13.817836581159678,1221.3337384489525,7.706136985369209,4.6516158635183633e-11,0.7151853800000001,0.2704,136815.2445777245,Inf,0.00010595609861710264,0.7151853800000001,0.2704
2264.1098437330493,159.50222106853195,24.0,1.0,82.33325181088058,13.760794673475635,1226.0344194439565,7.857899960664719,4.7250522105388693e-11,0.7151853800000001,0.2704,138039.97814066958,Inf,0.00010843489316298223,0.7151853800000001,0.2704
2426.8857896407435,162.77594590769468,25.0,1.0,81.53379241234958,13.706817484306386,1230.8205935139083,8.01275282447901,4.7994448653979115e-11,0.7151853800000001,0.2704,139285.5511045029,Inf,0.00011100168433404625,0.7151853800000001,0.2704
2592.8947227741637,166.00893313342038,26.0,1.0,80.74163136271171,13.655691592732973,1235.6887227979582,8.170751316658766,4.874814513074036e-11,0.7151853800000001,0.2704,140551.56837739015,Inf,0.00011365860048922113,0.7151853800000001,0.2704
2762.1006195814257,169.20589680726144,27.0,1.0,79.95674576565773,13.607224554556554,1240.6356345257004,8.33195301874551,4.951181618417836e-11,0.7151853800000001,0.2704,141837.6827589017,Inf,0.0001164078879635188,0.7151853800000001,0.2704
